V,I
0.5,0.187
1,0.418
1.3,0.547
1.5,0.626
1.8,0.763
2,0.831
2.3,0.994
2.5,1.079
0.5,0.189
1,0.421
1.3,0.549
1.5,0.623
1.8,0.76
2,0.833
2.3,0.995
2.5,1.076
