Bin ,Count
0,-8
1,8
2,9
3,9
4,15
5,31
6,51
7,68
8,97
9,143
10,135
11,135
12,162
13,166
14,138
15,150
16,131
17,100
18,83
19,76
20,60
21,37
22,39
23,36
24,31
25,34
26,36
27,39
