Bin,Count
0,-14
1,10
2,24
3,18
4,45
5,45
6,79
7,125
8,129
9,196
10,241
11,246
12,260
13,292
14,241
15,204
16,204
17,161
18,117
19,102
20,87
21,83
22,48
23,34
24,31
25,27
26,28
27,33
