Bin,Count
0,11
1,10
2,16
3,23
4,39
5,62
6,56
7,76
8,151
9,185
10,173
11,233
12,238
13,251
14,230
15,237
16,215
17,181
18,180
19,130
20,83
21,85
22,52
23,43
24,33
25,22
26,28
27,21
