Bin,Count
0,2
1,11
2,5
3,10
4,19
5,14
6,26
7,39
8,41
9,58
10,70
11,65
12,101
13,116
14,119
15,131
16,127
17,102
18,95
19,101
20,92
21,53
22,51
23,45
24,33
25,26
26,22
27,20
