Bin,Count
0,0
1,6
2,18
3,16
4,21
5,32
6,61
7,67
8,89
9,134
10,151
11,200
12,250
13,241
14,236
15,247
16,239
17,173
18,193
19,148
20,107
21,68
22,59
23,39
24,34
25,28
26,25
27,20
