Bin,Count
0,13
1,15
2,14
3,22
4,30
5,28
6,72
7,73
8,101
9,151
10,156
11,226
12,233
13,240
14,261
15,274
16,245
17,219
18,196
19,187
20,129
21,92
22,77
23,58
24,42
25,35
26,33
27,29
