Bin,Count
0,4
1,4
2,10
3,15
4,12
5,24
6,30
7,27
8,63
9,71
10,76
11,112
12,147
13,155
14,134
15,160
16,165
17,138
18,110
19,102
20,64
21,67
22,45
23,37
24,28
25,27
26,29
27,25
