Bin,Count
0,5
1,7
2,12
3,13
4,28
5,32
6,31
7,40
8,67
9,78
10,78
11,103
12,107
13,124
14,110
15,104
16,106
17,92
18,92
19,69
20,44
21,51
22,47
23,26
24,27
25,26
26,25
27,14
