Bin,Count
0,9
1,14
2,14
3,17
4,22
5,31
6,45
7,67
8,71
9,100
10,127
11,100
12,139
13,178
14,128
15,121
16,145
17,107
18,99
19,86
20,90
21,46
22,44
23,40
24,32
25,27
26,24
27,23
