Bin,Count
0,2
1,9
2,8
3,8
4,10
5,24
6,40
7,34
8,42
9,79
10,86
11,103
12,118
13,136
14,127
15,122
16,132
17,108
18,107
19,119
20,89
21,51
22,33
23,32
24,36
25,21
26,24
27,21
