Bin,Count
0,10
1,27
2,17
3,23
4,31
5,46
6,83
7,101
8,101
9,162
10,208
11,222
12,258
13,294
14,273
15,258
16,237
17,220
18,154
19,122
20,101
21,69
22,58
23,39
24,35
25,29
26,28
27,27
