Bin,Count
0,1
1,7
2,10
3,15
4,24
5,48
6,67
7,72
8,106
9,124
10,122
11,118
12,158
13,134
14,114
15,119
16,95
17,70
18,54
19,44
20,35
21,28
22,27
23,32
24,29
25,29
26,30
27,29
