Bin,Count
0,22
1,24
2,25
3,27
4,34
5,44
6,54
7,69
8,75
9,111
10,129
11,108
12,140
13,170
14,132
15,128
16,142
17,113
18,105
19,89
20,92
21,54
22,47
23,44
24,44
25,41
26,39
27,35
