Bin,Count
0,13
1,11
2,18
3,20
4,30
5,55
6,53
7,60
8,109
9,128
10,157
11,194
12,256
13,257
14,236
15,265
16,254
17,221
18,213
19,163
20,110
21,101
22,76
23,60
24,42
25,37
26,37
27,38
