Bin,Count
0,16
1,26
2,31
3,25
4,51
5,70
6,92
7,164
8,233
9,182
10,257
11,297
12,216
13,253
14,243
15,218
16,158
17,136
18,124
19,66
20,64
21,51
22,34
23,35
24,31
25,29
26,26
27,19
